"Genus","GZ001","GZ002","GZ003","GZ004","GZ005","GZ006","GZ007","GZ008","GZ009","GZ010","GZ011","GZ012","GZ013","GZ014","GZ015","GZ016","GZ017","GZ018","GZ019","GZ020","GZ021","GZ022","GZ023","GZ024","GZ025","GZ026","GZ027","GZ028","GZ029","GZ030","GZ031","GZ032","GZ033","GZ034","GZ035","GZ036","GZ040","GZ041","GZ042","GZ043","GZ045","GZ046","GZ047","GZ048","GZ049","GZ050","GZ051","GZ052","GZ053","GZ054","GZ055","GZ056","GZ057","GZ058","GZ059","GZ060","GZ061","GZ062","GZ063","GZ064","GZ065","GZ066","GZ067","GZ068","GZ069","GZ070","GZ071","GZ072","GZ073","GZ074","GZ075","GZ076","GZ077","GZ078","GZ080","GZ083","GZ088","GZ089","GZ091","GZ092","GZ093","GZ094","GZ095","GZ097","GZ099","GZ101","GZ103","GZ107","GZ109","GZ110","GZ113","GZ115","GZ118","GZ119","GZ120","GZ121","GZ122","GZ123","GZ124","GZ125","GZ127","GZ129","GZ131","GZ132","GZ133","GZ134","GZ135","GZ137","GZ138","GZ139","GZ140","GZ142","GZ143","GZ144","GZ147","GZ148","GZ149","GZ152","GZ155","GZ156","GZ158","GZ159","GZ160","GZ162","GZ164","GZ165","GZ166","GZ167","GZ168","GZ169","GZ170","GZ171","GZ172","GZ173","GZ174","GZ175","GZ176","GZ178","GZ179","GZ180","GZ182","GZ217","GZ219","GZ220","GZ221","GZ223","GZ224","GZ225","GZ226","GZ227","GZ228","GZ229","GZ231","GZ232","GZ233","GZ234","GZ235","GZ236","GZ237","GZ238"
"21-14-0-10-47-8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00155206392410881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Abiotrophia",0,0,0,0,0,0,0,0,0,0,0,0.000741741518395739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00130003386287012,0,0,0,0,0,0,0,0,0,0,0,0,0.000108266369772738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00368719199360918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000110514948824777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Achromobacter",0,0,0.000263388761891457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000312370604227149,0,0,0,0.000438986320481879,0,0.00140343910836602,0,0,0,0,0,0,0,0.000916585924375546,0,0,0,0,0,0.000339835823048047,0,0,0,0.000153589631702774,0,0,0,0,0,0,0,0,0,0.000101138134522946,0,0,0,0.00185086628284384,0.000731391686067368,0,0,0,0,0,0,0.00159046362660426,0,0,0,0.00018513537089106,0,0,0,0,0.000727900984586479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000309848699430789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000145651643786364,0,0,0.00339372132627152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000349513769388287,0,0.00625399691986381,0,0.00304678085875363,0,0,0,0,0.0109912867949771,0.00270043065686221,0,0.0299049835153291,0,0.00464942977133858
"Acidovorax",0.000644002235604499,0.000195409019384101,0.000582565892406166,0.00043246961952091,0.000393174323825869,0.000390685160864118,0.000187433181442134,0.000447608322017113,0.000758587751951335,0.000201238912752814,0.00132731824947535,0.000566161917683681,0.000607286495822137,0.000467677953135,0.000481167150638399,0.000673065345956688,0.000221682021154959,0.000588257015186527,0.000396182241915808,0.000228300354857914,0.000421602793409692,0.000978532129080677,0.000267464578627785,0.00355399124653541,0.00102319820946419,0.000252195675593397,0.000330414240100877,0.000195405114958688,0.000471952836604625,0.000117987505062462,0.000227907210215695,0.000718582236946524,0.000238580212711617,0.000563403176211025,0.000421241135557462,0.00052757339116343,0.000210019260290736,0.000880301689584297,0.000264965910331274,0.000180184459286903,0.000351796833910946,0.000406852923593267,0.0010376512165939,0.000131163420315756,0.000317927969726956,0.000363924920641025,0.000445263895957069,0.000214504919737284,0.000744698335347249,0.000683777629160226,0.000341643090983692,0.000929656040863977,0.000232834778237305,0.000586816117601602,0.000654221641127907,0.00265235903579352,0.000865556079838203,0.000500235733476484,0.000379869408045891,0.000314735764893598,0.00254316407209869,0.000692170399966977,0.00077709733943414,0.0017029077085467,0.000381387642869753,0.000811043273027959,0.000265526758011788,0.000688550438276699,0.000294485171853631,0.000702542121619238,0.00245130392094649,0.000303594721663427,0.000859462122744472,0.000276810865752048,0.000600638210068324,0.00032654954420556,0.000227974446362404,0.000142016177982401,0.000604063048903037,0,0.000209687633645548,0.000634663102510875,0.000413712335507273,0.000629923128846861,0.000287801304942446,0.000501036204894565,0.000248854333438863,0.000154998506000723,0.000291654651768553,0.000224934251358308,0.000186928149712063,0.00025341235885629,0.00053178563008829,0.000341196874762931,0.000370929722217491,0.000559471938962212,0.000235724529947923,0.000537167903838184,0.000263423116602933,0.000531086384001042,0.000126077518845901,0.000458979846833965,0.000151229055201568,0.000333063512072453,0.000210094298789991,0.00150732104150385,0.000225934481764796,0,0.000687929519763698,0.00025764679117851,0.000912638512088904,0.000606273433774135,0.000765669039169054,0.000490946374286916,0.000226718567518947,0.0021020100676377,0.000372358498080521,0.000217093461813987,0.00489944059557373,0.00072895298028657,0.000423840738599227,0.000251627072949197,0.000320649312621954,0.000853863773621265,0.00278951836246534,0.000232132252051009,0.000525613155984091,0.000388333703489662,0.00050540208107991,0.000453330983636864,0.000177785031275411,0.000524722191446325,0.000385469925299012,0.000995452007275164,0.000136079138429384,0.000178778458147599,0,0.00398591973384902,0.000830736368292279,0.000978594151063547,0.000280209538742527,0.00116876399969579,0.000234320213815681,0.000278993712329438,0.00049322629988501,0.000963452729998692,0,0.000391979943211097,0.00191405910491638,0.000158859734900279,0.000711765383659432,0.000518512200126985,0.000141084106553706,0.000312798171127563,0.00112485763537186,0.000698523963661482,0.000609426927190969,0.00139965974713625,0.000195777930428694,0.000532065752719511
"Acidovorax_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00149002166657931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000284426935367088,0,0
"Acinetobacter",0.00105403110878819,0.0018495429247626,0.0156597223770907,0.00336415466360105,0.00677292568387356,0.00410513806805169,0.00316537678004264,0.0105173841018608,0.000252621599620732,0.00150475868294893,0.000965519834198007,0.0255746982529989,0.00281192578621782,0.00130839575530868,0.00143608226082239,0.00221648656530533,0.00424921408887625,0.00461741625279326,0.000303772071036067,0.00412017710002073,0.00440119788993851,0.0350826366362788,0.00363483369530948,0.0666398909727115,0.00152788513553842,0.00345397150969801,0.00412491825393256,0.00309331496675684,0.00219649957308859,0.000885434363478448,0.00406138705048369,0.00435023251682785,0.00279218508034934,0.0110665604965853,0.00436087016034343,0.00320927274414403,0.00390690627229819,0.00223029934433086,0.000777437853420616,0.00154643795984083,0.00241457615066358,0.000472504538883454,0.000622312032174939,0.00270802337175768,0.00374138991479018,0.00348049374458262,0.00413611810143274,0.00367315140963484,0.000569057600366,0.00214479493616812,0.00679968755664532,0.000753760386674093,0.00379740204067614,0.00142497392871948,0.00189542665311112,0.00428859449586076,0.00449000327999376,0.00261941704672902,0.00169613159354276,0.0022763424904594,0.000288238694459729,0.00117551802669519,0.000424538175268141,0.00507558727828824,0.00378227557307418,0.000688418869108375,0.00106085026981583,0.00306734968785943,0.00341988571799367,0.00238962641937301,0.000927064424721069,0.00204877772881872,0.00438443600747676,0.00858279294565448,0.000735834618368631,0.0184111950940657,0.00342333432947029,0.00139605756260101,0.00536658880785818,0.00134495449364051,0.00150914241302995,0.0119591374836202,0.00128509711372432,0.00111776766640756,0.000518080038793622,0.0032029964977847,0.0032493336516874,0.0024270086368324,0.00348991702851581,0.00397888863296632,0.00317541630663432,0.00291893023203025,0.00410477681464129,0.00101768531869808,0.00330258067091698,0.000911003460406832,0.0037290654650588,0.00393551638292731,0.00418406828119266,0.000735511597363803,0.000921919265910855,0.000541047766404897,0.000153724771991188,0.00315455234099399,0.000252119432195114,0.00176562287189435,0.00326485102827161,0.000181905619490819,0.00268115920692708,0.00329559055477709,0.000401454873006806,0.00043220229844343,0.00608041521377582,0.00440622827558807,0.0032396007655575,0.0398175158306593,0.000449097059279216,0.00162471473494873,0.00919452577288136,0.00031501165915814,0.000626664691852087,0.00393261164821924,0.00139868138367565,0.00132097961671785,0.000526842827661416,0.00112330585589417,0.0016788092237502,0.000655491480908454,0.00241134117828922,0.000552643080435153,0.00238644158837173,0.00951864924123786,0.000306978257772386,0.00159871801767644,0.00103557396834038,0.00334055820112973,0.00476842688955338,0.00146945059558494,0.000812971461347014,0.00384077792142165,0.00139020201942041,0.000985483253511917,0.0108952147748528,0.000775647429542247,0.00622881966589938,0.0100485173556514,0.0583107410933405,0.0042426783257077,0.000620728832483646,0.00142229225923149,0.000183663346259039,0.000178835121782846,0.000250752413507892,0.000112928383268443,0.00323083765809287,0.000635999031616723,0,0.00197523651675724,0.00126865658807857,0.00132668577508473
"Actinomyces",0.00229022874493421,0.000176405985516093,0.00218856826387425,0.00201381499836421,0.00126690796955519,0.00100137281656672,0.00177318363065082,0.000830325204004737,0.000906410003600485,0.0081431987020505,0.00227534070310903,0,0.00105154559180649,0.000898010302330409,0.00175987411828403,0.00110034945793993,0.000761351126940174,0.000999331722719364,0.00239426540936027,0.000696182844468281,0.000723913785745599,0.00137220358793285,0.00066941206229881,0.000603970889270715,0.000357537395571421,0.000718285071797015,0.000732171896628867,0.000807827707637906,0.00171124630499907,0.000143823493873927,0.000835513522763648,0.000709632845985669,0.0635784641517233,0.00176480501507655,0.00082727229530952,0.000762407847411251,0.000992665808035891,0.00274849116315975,0.00335320852492112,0.00281238029510025,0.00147064041154368,0.00780817631547474,0.000910156661415234,0.000840413281791379,0.00108514281434051,0.00152277423177776,0.000670590700316492,0.0011547299043886,0,0.00152386933816713,0.00136039084674179,0.00592569086067012,0.00157187789917402,0.00210162184060912,0.00250242017220842,0.00089678885497486,0.000837644070171499,0.000693783625274007,0.000646416835458528,0.00176154950744797,0.00317342303248522,0.00257543246009436,0.00140706205459618,0.00124011201599102,0.00114359377444456,0.00305200992879828,0.00205629503670381,0.00131385299648086,0.00130139711429956,0.000720687600297762,0.00344756806783798,0.00142196994030403,0.000783837203225525,0.00332448084678945,0.00113293653608795,0.000580084493452182,0.0020810754886103,0.00355139522966758,0.00233460255689477,0.000285763377416098,0.00220152706663372,0.00185116488423383,0.00173881265437621,0.00420861297137698,0.002956892697672,0.000470387768527007,0.00152536706081242,0.000743672675043609,0.00101309185673617,0.000736586230943828,0.000663107852271273,0.000673568664940033,0.000924430525035749,0.0019275757295681,0.0173796448605227,0.00651577233619758,0.000805652347020613,0.000867769658475799,0.000660289145561446,0.00144379037296259,0.00416113834924871,0.00101667081067496,0.00402880393392487,0.00137828607205674,0.00189758198572009,0.00311866812159808,0.000645101001795891,0.00831464753270975,0.00190941881701186,0.00130559110815744,0.00127836256966751,0.000881481848927527,0.000618439910274053,0.000937505289329487,0.00142288239834891,0.00110811985790417,0.00575327299869662,0.000491559139918135,0.000755914215671233,0.00404582976044616,0.000961452326166076,0.000690167135002214,0.00161422387837208,0.00178077471601042,0.000770947550510221,0.00419106990807293,0.000392214674622414,0.0020953064144058,0.0011176938101488,0,0.000928544545926945,0.00113821769360208,0.000449018715184444,0.000943784517035646,0.00370086219074632,0.00158906095716173,0.000613032589566919,0.00311533519698725,0.00168528178411846,0.00105770921085108,0.000753410609383015,0.150733078278214,0.00233796833621116,0.000399904639525232,0.00079293159283509,0,0.00115969603501779,0.00182764927261515,0.00386959739020026,0.00359013848964024,0.000974588312348693,0.000537477591059392,0,0.00280607525527571,0.00188800180238223,0.00765246468936945,0,0.00430690795225003,0.0004948034804611,0.0011875973412783
"Acuticoccus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00143462497875025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000514294541093246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aerococcus",0,0,0,0,0,0,0,0,0.000101476264945837,0,0,0.00453404666281709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000227264760898297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000154357518896222,0,0,0,0,0,0,0.000415640013010597,0.000541568667635502,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Aeromonas",0.0032686893248059,0.00765151857985917,0.012473750608609,0.011798757193295,0.0125823996999884,0.0142155855498286,0.0112132830242831,0.0112451115086044,0.0026454649274349,0.00574025208071888,0.00632848624015766,0.000223633555532447,0.0116680429532522,0.00615659786175838,0.00461329478970968,0.00833915317502535,0.0161422528539748,0.0138079014289237,0.00455641293346249,0.0165422477532054,0.0159103474944371,0.0125740301715635,0.011721890756454,0.00783378767651608,0.00883152857292237,0.0155244293483424,0.0165542495033911,0.0154865217181445,0.0117759011692874,0.0136503212775205,0.017057278648706,0.015167037489306,0.0088583176746107,0.0106955855588451,0.0168036624332976,0.0173405525301571,0.0156606293201828,0.00921983579806636,0.00716099462749735,0.00443801136881259,0.0094336766802214,0.00343175174899914,0.00391656608181435,0.0110659115089992,0.0163885060897763,0.0036622595936472,0.0156044711342979,0.0127598755558217,0.000943548477461032,0.0100033242634852,0.013385771140966,0.0047273458844284,0.0135646032247122,0.00827497903373873,0.0113650575882675,0.0124410046579921,0.0157671922191402,0.01197847086942,0.0103367332191894,0.0107928566806482,0.00535367230951232,0.00677105330844435,0.00471692328975333,0.0153966574346921,0.0148859014841898,0.00408763487454988,0.00872355199905157,0.0118823370805384,0.0144718188700408,0.013514008386607,0.00585270955395845,0.0095466024116861,0.01569113968567,0.0109310858877734,0.0083142824450838,0.0090277632220947,0.0117877617910542,0.0102590646891674,0.00936175181817087,0.0169143637145041,0.00944273199105387,0.0037612862435484,0.00673687201414337,0.00515470529870382,0.0081429047692306,0.00679103117018757,0.0137859040652003,0.0117963225619387,0.0152537686456739,0.016782230315698,0.0155666981688541,0.0159200406648896,0.00957537662838836,0.00737357463893823,0.00939956433399297,0.00568788928449132,0.0171521217482243,0.0138644919207023,0.0153972029264648,0.0040979472222753,0.00541377873945143,0.00527257083734052,0.00228251276113099,0.0148192663329087,0.00457020607195077,0.00719046328696602,0.0153042083465395,0.00411651325247317,0.0109086362990999,0.0120712411447744,0.00391941046974015,0.0032795033034891,0.00359914355579456,0.0100290460771741,0.0120170964585181,0.00648311967391933,0.00617635550456525,0.0117129276871386,0.0121906165166065,0.00449049917252512,0.00544591080154872,0.0126392412412554,0.0102918128799155,0.00740993837364528,0.00708395853615045,0.00669744136134388,0.00496034884328438,0.00470100286937497,0.00972858834604999,0.0073701153906167,0.0126222483182489,0.00428806894666497,0.0062057969842763,0.00117851873876287,0.00644669752999924,0.0130276779904834,0.0152509658923516,0.00236799496468332,0.00561827620401783,0.0118391675039972,0.00920219557138903,0.0003732990522612,0.0042267860216223,0.000981566410340212,0.0023372539703791,0.000161114986927733,0.00207429044334129,0.00380231610358976,0.00494684889831264,0.00298533377267542,0.000334569133232701,0.00120287550237905,0.000168771601769408,0.00257797885673721,0.00171396511322653,0.00225270013602844,0.000122088648536836,0.000699325453869162,0.001672574636273,0.00089592655308875
